Watching for file changes with StatReloader
System check identified some issues:

WARNINGS:
todos.Todo: (models.W042) Auto-created primary key used when not defining a primary key type, by default 'django.db.models.AutoField'.
	HINT: Configure the DEFAULT_AUTO_FIELD setting or the TodosConfig.default_auto_field attribute to point to a subclass of AutoField, e.g. 'django.db.models.BigAutoField'.

System check identified 1 issue (0 silenced).
[30/Dec/2023 00:49:05] "GET /todos/ HTTP/1.1" 200 3515
[30/Dec/2023 00:49:13] "GET /todos/ HTTP/1.1" 200 3515
[30/Dec/2023 00:49:16] "GET /todos/ HTTP/1.1" 200 3515
[30/Dec/2023 00:49:17] "GET /static/css/style.css HTTP/1.1" 304 0
[30/Dec/2023 00:49:27] "POST /todos/add/ HTTP/1.1" 302 0
[30/Dec/2023 00:49:28] "GET /todos/ HTTP/1.1" 200 4093
[30/Dec/2023 00:49:35] "POST /todos/add/ HTTP/1.1" 302 0
[30/Dec/2023 00:49:36] "GET /todos/ HTTP/1.1" 200 4673
[30/Dec/2023 00:49:40] "GET /todos/23/delete HTTP/1.1" 302 0
[30/Dec/2023 00:49:41] "GET /todos/ HTTP/1.1" 200 4093
[30/Dec/2023 00:49:41] "GET /todos/22/delete HTTP/1.1" 302 0
[30/Dec/2023 00:49:42] "GET /todos/ HTTP/1.1" 200 3515
Not Found: /todos/22/delete
[30/Dec/2023 00:49:42] "GET /todos/22/delete HTTP/1.1" 404 2535
Not Found: /todos/22/delete
[30/Dec/2023 00:49:47] "GET /todos/22/delete HTTP/1.1" 404 2535
Not Found: /todos/22/delete
[30/Dec/2023 00:49:49] "GET /todos/22/delete HTTP/1.1" 404 2535
[30/Dec/2023 00:49:56] "GET /todos/ HTTP/1.1" 200 3515
[30/Dec/2023 00:50:00] "POST /todos/add/ HTTP/1.1" 302 0
[30/Dec/2023 00:50:01] "GET /todos/ HTTP/1.1" 200 4091
[30/Dec/2023 00:50:03] "GET /todos/24/delete HTTP/1.1" 302 0
[30/Dec/2023 00:50:04] "GET /todos/ HTTP/1.1" 200 3515
[30/Dec/2023 00:50:05] "GET /todos/3/delete HTTP/1.1" 302 0
[30/Dec/2023 00:50:06] "GET /todos/ HTTP/1.1" 200 2920
[30/Dec/2023 00:50:07] "GET /todos/2/delete HTTP/1.1" 302 0
[30/Dec/2023 00:50:08] "GET /todos/ HTTP/1.1" 200 2328
[30/Dec/2023 00:50:12] "POST /todos/add/ HTTP/1.1" 302 0
[30/Dec/2023 00:50:13] "GET /todos/ HTTP/1.1" 200 2904
[30/Dec/2023 00:50:31] "GET /todos/ HTTP/1.1" 200 2904
[30/Dec/2023 00:51:28] "GET /todos/ HTTP/1.1" 200 2904
[30/Dec/2023 00:51:30] "GET /todos/ HTTP/1.1" 200 2904
[30/Dec/2023 00:51:34] "GET /todos/?fbclid=IwAR0tsrpqMVE6v7IFDzigEk6szfInBuPwf9valY69qqgR1Nt4OC79pSnSIZk HTTP/1.1" 200 2904
[30/Dec/2023 00:51:39] "GET /static/css/style.css HTTP/1.1" 304 0
[30/Dec/2023 03:18:19] "GET / HTTP/1.1" 302 0
[30/Dec/2023 03:18:20] "GET /todos HTTP/1.1" 301 0
[30/Dec/2023 03:18:21] "GET /todos/ HTTP/1.1" 200 2904
